Date,Open,High,Low,Close,Volume
28/08/2017,47020,47240,45960,46100,9962100
29/08/2017,45640,46080,45160,46080,12623650
30/08/2017,46380,46400,45960,46200,7513000
31/08/2017,46220,46640,46000,46320,11011700
01/09/2017,46460,46640,46300,46480,10641700
04/09/2017,45780,46360,45500,46040,7943500
05/09/2017,46240,46900,45960,46760,11716100
06/09/2017,46760,47180,46700,47000,10811050
07/09/2017,47000,48220,47000,48120,9676500
08/09/2017,48700,49180,48580,49080,10893000
11/09/2017,49700,50180,49500,49800,10374750
12/09/2017,50200,50220,49140,49600,12029750
13/09/2017,49820,50400,49440,49620,9357000
14/09/2017,50060,50320,49760,50300,14204750
15/09/2017,50300,50560,49860,50400,10757300
18/09/2017,50540,52480,50520,52480,11524950
19/09/2017,52500,52640,51780,52120,9850400
20/09/2017,52120,52500,51840,52220,9292750
21/09/2017,52220,52960,52220,52800,8839800
25/09/2017,53000,53680,53000,53620,9303100
26/09/2017,53620,53620,53620,53620,0
27/09/2017,52000,52200,51500,51680,10797000
28/09/2017,52260,52460,51260,51260,12025450
29/09/2017,51180,51620,50840,51280,12909400
10/10/2017,53360,53640,52800,52800,20519800
11/10/2017,53600,54760,53340,54640,13652150
12/10/2017,54840,55160,54100,54800,13890700
13/10/2017,54540,54840,53780,54000,12601650
16/10/2017,53980,54860,53760,53920,9769950
17/10/2017,54020,55380,54000,54800,10607800
18/10/2017,54820,55240,54040,54760,10110750
19/10/2017,54700,54700,52980,52980,12108700
20/10/2017,52800,54100,52800,53840,8027050
23/10/2017,54600,54640,54000,54300,8311050
24/10/2017,54700,54780,54040,54040,5806050
25/10/2017,54040,54420,53700,53900,5882850
26/10/2017,53720,53900,52400,52400,9776550
27/10/2017,52400,53320,52140,53080,7392500
30/10/2017,53780,54320,53700,54040,8196150
31/10/2017,54060,55440,53500,55080,13381550
01/11/2017,57500,57500,56180,57220,14510250
02/11/2017,57500,57520,56760,57060,10721050
03/11/2017,57060,57140,55860,56380,9935800
06/11/2017,56380,56500,55340,56380,9000950
07/11/2017,56380,56920,55860,56100,7464550
08/11/2017,56100,57060,55860,56760,8520200
09/11/2017,56920,56920,55900,56340,11994050
10/11/2017,55800,56540,55780,56400,6748800
13/11/2017,56400,56800,56100,56380,8806650
14/11/2017,56380,56740,55920,55920,6725000
15/11/2017,55920,56320,55320,55340,8816950
16/11/2017,55440,56000,55400,55780,7640700
17/11/2017,56400,56880,55820,55820,10733150
20/11/2017,55900,55980,55200,55200,9472750
21/11/2017,55400,55840,55280,55280,10324700
22/11/2017,55980,56200,55620,55960,7952950
23/11/2017,55960,55980,55020,55300,6272900
24/11/2017,55300,55500,55180,55460,4536200
27/11/2017,55360,55360,52640,52640,18128900
28/11/2017,52700,53280,51720,53280,13499400
29/11/2017,53200,53240,52500,52600,9590250
30/11/2017,50800,51860,50200,50800,29634150
01/12/2017,50800,51780,50800,50840,12868600
04/12/2017,50840,51340,50020,51340,14865050
05/12/2017,50600,51300,50280,51260,9326550
06/12/2017,51260,51560,50020,50020,10889200
07/12/2017,50040,50980,50020,50740,11065600
08/12/2017,51360,52000,51040,52000,11290450
11/12/2017,52000,52040,51500,51780,8125850
12/12/2017,51820,52100,51660,52100,8765050
13/12/2017,52100,52100,51100,51320,11333700
14/12/2017,51320,52280,51060,51060,20310400
15/12/2017,51240,51480,50520,50620,14928550
18/12/2017,50620,51240,50620,51200,7350250
19/12/2017,51540,52080,51520,51560,11978600
